System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:43:36:724, 480661373706106,    0.110,    7.000,  900,   7.748,   0.852,   0.237,   5.918,   0.651,   0.181, 57,  0,   0.852,   0.094,   0.026,  70.000, 107.000, 130.000,   0.000,   0.000
13:43:36:848, 480661697104821,    0.235,   11.000, 1700,   4.656,   1.433,   0.398,   2.933,   1.017,   0.282, 57,  0,   0.933,   0.210,   0.058,  70.000, 107.000, 130.000,   0.000,   0.000
13:43:36:959, 480661982912905,    0.345,    5.000,  900,   3.249,   1.791,   0.498,   2.019,   1.239,   0.344, 57,  0,   0.860,   0.305,   0.085,  70.000, 107.000, 130.000,   0.000,   0.000
13:43:37:069, 480662268476517,    0.455,   15.000, 2600,   3.340,   2.159,   0.600,   2.237,   1.486,   0.413, 61,  0,   0.808,   0.394,   0.109,  70.000, 107.000, 130.000,   0.000,   0.000
13:43:37:210, 480662633338977,    0.596,   76.000, 4000,  43.988,   8.351,   2.320,  40.749,   7.222,   2.006, 81,  0,   1.629,   0.623,   0.173,  70.000, 107.000, 130.000,   0.000,   0.000
13:43:37:334, 480662954737673,    0.720,    8.000,  900,   6.408,   9.146,   2.540,   4.833,   7.821,   2.173, 58,  0,   0.688,   0.709,   0.197,  70.000, 107.000, 130.000,   0.000,   0.000
13:43:37:443, 480663239769010,    0.830,    5.000,  900,   3.116,   9.488,   2.636,   1.741,   8.013,   2.226, 57,  0,   0.817,   0.799,   0.222,  70.000, 107.000, 130.000,   0.000,   0.000
13:43:37:552, 480663522189541,    0.939,    6.000, 2200,   4.060,   9.931,   2.759,   2.687,   8.305,   2.307, 57,  0,   0.791,   0.885,   0.246,  70.000, 107.000, 130.000,   0.000,   0.000
13:43:37:661, 480663802649242,    1.047,    5.000, 3100,   6.398,  10.623,   2.951,   4.710,   8.815,   2.449, 58,  0,   0.888,   0.981,   0.272,  70.000, 107.000, 130.000,   0.000,   0.000
13:43:37:663, 480663810304677,    1.050,   14.000, 3100,  11.015,  10.655,   2.960,   9.940,   8.844,   2.457, 58,  0,   0.827,   0.983,   0.273,  70.000, 107.000, 130.000,   0.000,   0.000

Total Elapsed Time (sec) = 1.050023
Measured RDTSC Frequency (GHz) = 2.592

Cumulative Processor Energy_0 (Joules) = 10.655457
Cumulative Processor Energy_0 (mWh) = 2.959849
Average Processor Power_0 (Watt) = 10.147835

Cumulative IA Energy_0 (Joules) = 8.844177
Cumulative IA Energy_0 (mWh) = 2.456716
Average IA Power_0 (Watt) = 8.422844

Cumulative DRAM Energy_0 (Joules) = 0.983276
Cumulative DRAM Energy_0 (mWh) = 0.273132
Average DRAM Power_0 (Watt) = 0.936433
