,Experiment,Accuracy
0,FEDH_mnist,90.74074074074075
1,FEDH_mnist_enc,90.74074074074075
2,FEDH_mnist_bag_best,95.18518518518519
3,FEDH_mnist_bag_alt,94.25925925925925
4,MLPC_mnist,97.4074074074074
5,FEDH_mnist_full,91.69632265717675
6,FEDH_mnist_full_enc,91.69632265717675
7,FEDH_mnist_full_bag_best,93.53499406880191
8,FEDH_mnist_full_bag_alt,93.41637010676158
9,MLPC_mnist_full,97.27164887307237
10,FEDH_mnist_orig,81.3
11,FEDH_mnist_orig_enc,81.32000000000001
12,MLPC_mnist_orig,97.14
13,KERAS_mnist_orig,97.43000268936157
